constant_name,definition
"IPPF Statistics Report","Reporte Estadistico IPPF"
"IPPF Stats","Estadísticas IPPF"
Issue,Condición
Issues,"Condiciones Médicas"
"Issues (Injuries/Medical/Allergy):","Condiciones Médicas"
Issues:,"Condiciones Médicas"
January,Enero
"Job Description:","Descripción de la tarea"
"Job skills workshop","Taller de oficio"
July,Julio
June,Junio
"Just Mine","Mis notas"
Keywords,"Palabras clave"
"Label (?)",Etiqueta
"Label Cols","Etiqueta de col"
Language,Idioma
"Language Code:","Codigo de idioma"
"Language Name:","Nombe de idioma"
Language:,Idioma:
Laparoscopy,Laparoscopía
Last,Apellido
"Last Name",Apellido
"Last name(s)",Apellido(s)
"Last Name:",Apellido
"Last Normal Period (date)","Fecha último período normal"
"Last Visit","Ultima visita"
Latitude,Latitud:
"Layout Based","Formas configurables"
LDL,"Lipoproteínas Baja Densidad"
"Leave Message With","Dejar mensaje con"
Left:,Izquierda
"Legal Abortion","Aborto Legal"
Length,Largo
Letter,Notas
Lifestyle,"Estilo de vida"
Limits,Límites
List,Lista
"List Prescriptions","Lista de recetas"
Lists,"Listas de datos"
Liver,Hígado
Locale,Locales
Location,Ubicación
Location:,Ubicación
"Logged in:","Usuario activo"
Login,Entrar
Logout,Salir
Logs,Bitacora
"Logs Viewer","Visor de actividad"
Longitude,Longitud:
Lot,Lote
"Lot Number","Núm de lote"
Lot:,Lote
MA,AM
"MA Category","Categoría de la AM"
"MA Client Accepting Abortion","Clienta AM que acepta el aborto"
"MA Client Deferring Abortion","Clienta AM que difiere el aborto"
"MA Client Refusing Abortion","Clienta AM que rehúsa el aborto"
"MA Social Marketing","Mercadeo social AM"
"MA Stats","Estadísticas de la AM"
"Main Complication","Complicación principal"
Male,Hombre
"Male Condom","Condón masculino"
"Male VSC - Incisional vasectomy","AQV Masculina - Vasectomía incisional"
"Male VSC - No-scalpel Vasectomy","AQV Masculina - Vasectomía sin bisturí"
Mammogram,Mamograma
Mammography,Mamografía
Management,"Admon Registros"
"Manual Breast Exam ","Ex manual de senos"
"Manual exams ","Ex manual"
"Manual Pelvic Exam ","Ex manual pélvico"
Manufacturer,Fabricante
March,Marzo
March,Marzo
"Marital status","Estado civil"
Married,Casado(a)
May,Mayo
"Medical - Allergy","Médica - Alergia"
"Medical - Breast Feeding","Médica - Lactancia"
"Medical - Contraindication","Médica - Contraindicación"
"Medical - Menopause","Médica - Menopausia"
"Medical - Side Effects of Current Method	","Médica - Efectos secundarios de método actual"
"Medical Problems","Problemas médicos"
"Medical Record","Datos Clínicos"
Medication,Medicación
Medications,Medicación
Medications:,Medicación
"Member Association Statistics Report","Reporte estadístico de la Asociación"
Membership,Membresía
"Memory Problems:","Problemas de memoria"
Menarche:,Menarquia
Menopause:,Menopausia
"Menstrual Complications","Complicaciones menstruales"
"Menstrual History","Historia menstrual"
"Mental Illness","Enfermedad mental"
"Met Space","Espacio Metabolico"
"Metabolic Endocrin system","Espacio Metabólico Endocrino"
Method,Método
"Method change","Cambio de método"
"Method of Destruction","Método de destrucción"
"Method Too Complicated","Método demasiado complicado"
"Middle Name:","Segundo nombre"
"Migrant or seasonal worker?","¿Trabajador migrante o estacional?"
Migrant/Seasonal,Migrante/Estacional
minutes,Minutos
Misc,Misceláneos
Miscellaneous,Misceláneos
"Mobile Phone","Tel. Celular"
"Mobile/Outreach Clinic	","Clínicas Móviles/Brigadas"
Monday,Lunes
"Month View",Mes
Month:,Nes
"Monthly Income","Ingreso mensual"
Months,Meses
More,Más
"More than 3 months ago","Hace más de 3 meses"
Morning,Matutino
Mother,Madre
"Mother´s name","Nombre de la madre"
"Move Down","Hacia abajo"
"Move Up","Hacia arriba"
"Multi Language Tool","Configuracion idiomas"
"Multiple Lots","Lotes múltiples"
Name,Nombre
"Name (click for more)","Nombre (presione para ver más)"
Name(s),Nombre(s)
Name/Value,Nombre/Valor
Name:,Nombre
"National ID",DNI
"National ID:",DNI:
Nationality,Nacionalidad
NDC,Código
"NDC Number",Código
New,Nuevo
"New Acceptors","Aceptantes nuevos"
"New Appointment","Nueva Cita"
"New Category","Nueva categoría"
"New Definition set added ","Nuevo conjunto de definiciones añadido"
"New Encounter","Nueva Visita"
"New Encounter Form","Formulario Nueva Visita"
"New Facility Information:","Informac nueva ubicación"
"New Limit of Events","Nuevo límite de evntos"
"New List","Nueva Lista"
"New Method","Nuevo Método"
"New Patient","Nuevo Cliente"
"New Patient Encounter","Nueva visita del cliente"
"New Patient ID:","Nuevo ID de client"
"New Payment","Nuevo pago"
"New User:","Nuevo Usuario"
"New Visit","Nueva Visita"
"New Visit Form ","Nueva Forma de Visita"
New/Search,"Nuevo Registro / Búsqueda"
"No Box","Sin Caja"
"No conception after 12 months w/o FP & female <34 years","No concibe después de 12 meses sin PF y mujer <34"
"No conception after 6 months w/o FP & female >35 years","No concibe después de 6 meses sin PF y mujer <34"
"No currently studying","No estudiando actualmente"
"No Prescriptions Found","No se encontraron recetas"
"No visit","Sin visita"
"No, cancel","No, cancelar"
"No. Children Now Living with You","Núm. Hijos que viven con usted"
"No. Miscarriages/Spontaneous Abortions","Núm. Abortos espontáneos"
"No. of Tubal Pregnancies (Ectopic)","Núm. Embarazos ectópicos"
"Non enrolled","No escolarizado"
"Non stated","No determinado"
"Non-SRH - Family Health","No SSR - Salud Familiar"
"Non-SRH - Risk Reduction","No SSR - Reducción Riesgos/Daños"
"Non-SRH Medical","Servicios Médicos de Especialidad"
None,Ninguna
"Normal Flow","Flujo normal"
"Normal Length of Menstrual Cycle","Duración normal de ciclo menstrual"
"Normal Menarche","Menarquia normal"
"Not Having","Que no realizaron"
Note,Nota
"Note Type","Tipo de nota"
Notes,Notas
Notifications,Notificaciones
November,Noviembre
"Num Seg. Social",DNI
"Number of C Sections","Núm. de cesáreas"
"Number of Induced Abortions","Núm. de abortos inducidos"
"Number of Live Births","Núm. de partos"
"Number of Living Children","Núm. de hijos vivos"
"Number of Stillbirths","Núm. de mortinatos"
"Number of Vaginal Deliveries","Núm. de partos vaginales"
Obstetric,Obstétrico
"Obstetric History","Historia obstétrica"
"Obstetric services",Obstetricia
"Obstetric Tests","Test obstétrico"
Obstetrics,Obstétrico
Occupation,Ocupación
Occurrence,Ocurrencia
October,Octubre
"Ofc Notes","Notas Oficina"
"Office Notes (Back) ","Notas (atrás)"
"Office Notes (More)","Notas (Más)"
"Office Visit",Administrativa
Offspring,Hijos
"On Hand",Existencias
"On Order",Pedidos
Open,Abierta
Options,Opciones
Or:,O
Oral,Boca
Order,Orden
"Order Type","Tipo de Orden"
Ordered,Ordenado
Other,Otros
"Other (specify)",Otro
"Other Agencies","Otras agencias"
"Other Complications","Otras complicaciones"
"Other Information","Otra informacion"
"Other Notes","Otras notas"
"Other Pertinent Symptoms:","Otros síntomas pertinentes"
"Other, Specify","Otros, especifique"
Others,Otros
"Outbound External Referrals","Referencias externas - Enviar"
"Outbound Internal Referrals","Referencias internas - Enviar"
"Outbound Referral","Referencia externa"
"Outcome of Last Pregnancy","Resultado del último embarazo"
"Oxygen Saturation","Saturación de oxígeno"
Pages,Páginas
Paid,Pagado
Pain:,Dolor
Password,Contraseña
"Password (Again):","Contraseña (confirmación)"
"Password Change","Cambio de contraseña"
Password:,Contraseña
"Past Encounters and Documents","Visitas y doc anteriores"
"Past Visits and Documents ","Visitas y doc anteriores"
Patient,Cliente
"Patient Appointment","Cita(s) del Cliente"
"Patient Checkout for ","Facturación de"
"Patient Communication sent","Comunicación enviada a la/el cliente"
"Patient Data","Datos de la/el cliente"
"Patient Encounter","Visita de cliente"
"Patient Encounter Form","Forma de visita de cliente"
"Patient History","Historia clínica"
"Patient History / Lifestyle (Back)","Historia/estilo de vida (Regresar)"
"Patient History / Lifestyle (More)","Historia/estilo de vida (Más)"
"Patient ID","ID de la/el cliente"
"Patient ID card","Tarjeta de ID de la/el cliente"
"Patient ID:","ID de la/el cliente"
"Patient Immunization","Inmunización de la/el cliente"
"Patient Information","Información de la/el cliente"
"Patient Information","Información de la/el cliente"
"Patient Instructions","Instructiones al cliente"
"Patient List","Lista de clientes"
"Patient Notes","Notas del cliente"
"Patient Number","No. de Cliente"
"Patient Record Report","Reporte de Registro de clientes"
"Patient Report","Reporte de clientes"
"Patient Results","Resultados por cliente"
"Patient Transactions","Referencias y otros"
Patient/Client,Clientes
"Pay Methods","Métodos de pago"
"Payment amount","Monto pagado"
"Payment Date","Fecha de pago"
"Payment Method","Método de pago"
"Payment Pt","Pago de cliente"
Payments,Pagos
Pediatric,Pediatría
"Pelvic Exam","Examen Pélvico"
"Pelvic Inflammatory Disease (PID)","Enfermedad Inflamatoria Pélvica"
"Pending F/U","Seguimientos pendientes"
"Pending Followup from Results","Seguimiento pendiente"
"Pending Orders","Ordenes pendientes"
"Pending Res","Resultados pendientes"
"per min","por min"
Periods,Períodos
"Personal - Family Pressure/Advice","Personal - Presión/Consejo familiar"
"Personal - Fear of Infertility","Personal - Temor a infertilidad"
"Personal - Other Reason","Personal - Otra razón"
"Personal - Partner Opposes","Personal - Oposición de la pareja"
"Personal - Religious","Personal - Religión"
"Personal - Side Effects Concern","Personal - Preocupación por efectos secundarios"
"Personal - Social Pressure/Friend Advice","Personal - Presión Social/Consejo de amistad"
"Pessary/Cervicap Cap","Pesario/Tapón cervical"
Pharmacies,Farmacias
Pharmacy,Farmacia
Phone,Teléfono
Phone:,Teléfono
physical,Físico
"Physical Exam ","Examen Físico"
PID,EIP
"PID (Pelvic Inflammatory Disease)","(EIP) Enfermedad Inflamatoria Pélvica"
"Pill Size",Tamaño
"Planning Pregnancy","Planea embarazarse"
"Please select",Seleccione
"Pmt Method","Métodos de pago"
"Pneumonia Vaccination","Vacuna neumonía"
"POS Code","Canal en SGIe"
"Postal Code","Código Postal"
"Postal Code:","Código Postal"
"Posting Date","Fecha de aplicación"
Practice,"Otras especialidades"
Practitioner,"Prestador de Servicios"
"Preferred Language","Idioma preferido"
"Preferred Pharmacy","Farmacia preferida"
"Pregnancy Complications:","Complicaciones durante el embarazo"
Pregnant,Embarazada
"Preliminary Diagnosis","Diagnóstico preliminar"
Prepay,Prepagos
"Prescp & Disp","Recetas y Despachos"
prescription,Recetas
Prescriptions,Recetas
"Prescriptions and Dispensations","Recetas y Despachos"
"Prescriptions and other referrals","Recetas y otras referencias"
Prescriptions/Referrals,Recetas/Referencias
Previous,Previo
"Previous modern contraceptive use?","¿Uso previo de anticonceptivos modernos?"
Price,Precio
"Price Level","Nivel de precios"
Primary,Primaria
"Primary Ins","Seguro Primario"
"Primary Insurance Data","Datos del Seguro Primario"
Print,Imprimir
"Print Blank Referral Form","Imprimir Forma de Referencia en blanco"
"Print Multiple (HTML)","Imprimir múltiples recetas (HTML)"
"Print Multiple (PDF) ","Imprimir múltiples recetas (PDF)"
"Print Multiple To Fax","Imprimir múltiples recetas a Fax"
"Print Record (HTML)","Imprimir registro(HTML)"
"Print Record (PDF)","Imprimir registro(PDF)"
"Printable version","Versión para impresora"
Printer,Impresor
Priority,Prioridad
Priority:,Prioridad
"Private Physicians","Médicos privados"
Problem,Problema
Procedure,Procedimiento
"Procedure at this site","Proc realizado en esta clínica"
"Procedure Order ","Orden de Laboratorio"
"Procedure Statistics Report","Reporte Estadístico de Laboratorio"
Procedure:,Procedimiento
Procedures,"Lab y Diagnósticos"
Process,Procesos
"Process Guides","Guías de proceso"
Product,Producto
Products,Productos
"Progestogen Only Injectables (2 months)","Inyectables de Progestágeno Solo (2 meses)"
"Progestogen Only Injectables (3 months)","Inyectables de Progestágeno Solo (3 meses)"
Promotion,Promoción
"Prostate Cancer","Cáncer de próstata"
"Prostate Cancer Screening","Tamizaje cáncer de próstata"
"Prostate Exam","Examen de próstata"
"Prostate w/o enlrgmt, nodules, tender","Próstata sin agrandamiento, nódulos, sensibilidad"
Prostatitis,Prsotatitis
Provider,Agendado
Providers,Proveedores
Province,Provincia
"Province/County or Parish",Provincia/Municipio
PSA,"Antígeno prostático"
"Pt Notes/Auth",Notas/Autorizaciones
Pulse,Pulso
Purchase,Compra
Purchase/Return,Compra/Devolución
Purchases,Compras
QOH,"Existencia a la fecha"
Qty,Cantidad
Qty.,Cantidad
Quantity,Cantidad
"Quantity On Hand",Existencias
Quarters,Trimestres
Race/Ethnicity,Raza/Etnia
radiology,Radiología
Range,Rango
Reactions,Reacciones
"Real Name","Nombre real"
"Real Name:","Nombre real"
Reason,Razón
"Reason for Method Change","Razón de cambio de método"
Reason/Form,Razón/Forma
"Rec Summary","Resumen recibos"
"Receipt Generated","Recibo generado el"
"Receipts Summary","Resumen de recibos/facturas"
Received,Recibido
"Recent Menstrual History","Historia menstrual reciente"
Recommendations,Recomendaciones
"Recommendations and treatment","Recomendaciones y tratamiento"
"Records Found","Expedientes Localizado"
Rectal,Recto
"Rectal Exam","Examen rectal"
"Refer By","Referido por"
"Refer Date","Fecha de referencia"
"Refer To","Referir a"
Reference,Referencia
"Reference classification (risk level)","Nivel de riesgo"
"Reference Reason ","Motivo de la referencia"
"Referer name and signature","Nombre y firma de quien refiere"
Referral,Referencia
"Referral Date","Fecha de Referencia"
"REFERRAL FORM","FORMA DE REFERENCIA"
"Referral Source","Referido por"
"Referral Type","Tipo de Referencia"
Referrals,Referencias
"Referrals and Other Transactions","Referencias/Otras transacciones"
"Referrals Pending Cabinet","Gabinete de Referencias pendientes"
"Referred By","Referido por"
"Referred To","Referido a"
Refills,Resurtir
"Reflexes normal","Reflejos normales"
Refresh,Actualizar
Refs,Resurt
Registered,Registrado
"Registration Date","Fecha de Registro"
"Registration Date:","Fecha de Registro"
"Registration Form","Ficha de Registro"
"Relate To","Mapeado a"
"Relate To:","Mapeado a"
Related,"Mapeado a"
Relatives,Familiares
Religion,Religion
"Rename Group","Renombrar grupo"
Rendering,Predeterminado
Repeats,Repite
"Reply Date","Fecha de respuesta"
"Reply From","Respuesta de"
Report,Reporte
Reported,Reportado
Reports,Reportes
"Reproductive General","SSR general"
"Reproductive Women","SSR mujeres"
"Requested Method","Método solicitado"
"Requested Service","Servicio solicitado"
Respiration,Respiración
Result,Resultado
"Results and Recommendations","Resultados y Recomendaciones"
"Results of Last Pap Smear ","resultados del último Papanicolau"
"Retinal Exam","Examen de retina"
Return,Devolución
"Return to calendar","Regresar a calendario"
"Review Of Systems ","Chequeo Médico"
"RH Factor","Factor RH"
"RH Factor:","Factor RH:"
"Risk Factors","Factores de riesgo"
"Risk Level","Nivel de riesgo"
"Risk Reduction","Reducción de Riesgos"
"Risks and Complications Explained","Explicación de riesgos y complicaciones"
Route,Ruta
Rows,Filas
Rows:,Filas
Rx,Recetas
Sale,Venta
Sales,Ventas
"Sales by Item","Ventas por producto"
"Sales Tax","Impuesto de venta"
Saturday,Sábado
Save,Guardar
"Save and Checkout","Guardar y Pagar"
"Save and Close","Guardar y cerrar"
"Save and Dispense","Guardar y Despachar"
"Save and Tally Sheet","Guardar y Hoja de cargos"
"Save Changes","Guardar cambios"
"Save Form","Guardar Forma"
"Save Immunization","Guardar inmunizaciones"
"Save Patient Demographic","Guardar datos demográficos"
"Save Transaction","Guardar transacción"
Schedule,Dosis
School,Escuela
Screen,Pantalla
Search,Búsqueda
"search again","buscar de nuevo"
"Search or Add Client","Buscar/Agregar Registro"
"Search or Add Patient ","Buscar/Agregar Registro"
"Search or Add Patient ","Buscar/Agregar Registro"
"Search or Add Patient ","Buscar/Agregar Registro"
"Search or Add Patient ","Buscar/Agregar Registro"
"Search or Add Patient ","Buscar/Agregar Registro"
"Search or Add Patient ","Buscar/Agregar Registro"
"Search Results","Resultados de la búsqueda"
"Searching for appointments","Búsqueda de citas"
"Seatbelt Use","Cinturón de seguridad"
Secondary,Secundaria
"Secondary Insurance Data","Datos del Seguro Secundario"
Security,Seguridad
"see all","Ver todas"
"See Authorizations:","Ver autorizaciones"
Select,Seleccionar
"Select All","Seleccionar todos"
"Select Fields","Selección de campos"
"Select one of these, or type your own title","Seleccione una de las opciones o introduzca una propia"
"Select Patient","Seleccionar Registro"
"Select Patient by Last","Selec cliente /por apellido"
"Semen analysis","Análisis de seman"
Sensitivity,Sensibilidad
Sensitivity:,Sensibilidad
Separated,Separado(a)
September,Septiembre
Service,Servicio
"Service Code","Código del servicio"
"Service Date:","Fecha de servicio"
"Service Filter","Filtro de Servicio"
"Service Location","Presta servicios"
"Service Provided","Servicio provisto"
"Service Provider","Proveedor de servicio"
"Service Provider:","Proveedor de servicio"
"Service Statistics Report","Reporte Estadísticas de Servicio"
Services,Servicios
"Services by Category","Servicios por categoria"
"Services provided","Servicios provistos"
Services/Products,Servicios/Productos
Settings,Parámetros
"Severe Migraine","Migraña severa"
Sex,Sexo
Sex:,Sexo
"Sexually transmitted infection","Infección de transmisión sexual"
"Sexually Transmitted Infection (STI)","Infección de transmisión sexual (ITS)"
Shift,Turno
Shifts,Turnos
"Shifts Report","Reporte de Turnos"
"Show Details","Mostrar detalles"
Siblings,Hermanos
"Sickle Cell",Falciformismo
Sigmoid/Colonoscopy,Sigmoidoscopia/Colonoscopia
Single,Soltero(a)
Size,Tamaño
"Sleep Patterns","Patrones de sueño"
"Social Difficulties:","Dificultades sociales"
"Social History:","Historia social"
"Social Security","DNI Nacional/Extranjero"
"Social Security Number",DNI
"Social service","Servicio social"
"Social services","Servicio social"
Sonogram,Sonograma
"Sort by","Ordenado por"
"Sort by :","Ordenado por"
"Source Lot","Lote de origen"
Spanish,Español
Special,Especial
"Special Education","Eduación Especial"
Specialist,Especialista
"Specialist name and signature","Nombre y firma del especialista"
Specialty,Especialidad
Specialty:,Especialidad
Specific,Específico
"Specific Contraceptive Service","Servicio Anticonceptivo Específico"
"Specific Result","Resultado específico"
"Specific Service","Servicio específico"
Specimen,Espécimen
"Speech Dictation","Notas Médicas"
Spermicides,Espermicidas
"Spermicides - Cream & Jelly","Espermicidas - Crema y Jalea"
"Spermicides - Foam Cans","Espermicidas - Espumas en aerosol"
"Spermicides - Foam Tabs/Strip","Espermicidas - Espuma Tabletas/Tiras"
"Spermicides - Foam Tabs/Tube/Suppositories","Espermicidas - Espuma Tubo/Supositorios"
"Spermicides - Pessaries / C-film","Espermicidas - Pesarios/Película vaginal"
Spermiogram,Espermiograma
Spleen,Bazo
"Spontaneous Abortion","Aborto espontáneo"
Spouse,Cónyuge
Sputum:,Esputo
"SRH - Abortion","SSR - Aborto"
"SRH - Contraceptive Services","SSR - Servicios anticonceptivos"
"SRH - Family Counselling","SSR - Consejería familiar"
"SRH - FP Counselling","SSR - Consejería de PF"
"SRH - GBV Counselling","SSR - Consejería VBG"
"SRH - Gynecology","SSR- Ginecología"
"SRH - HIV/AIDS","SSR - VIH/SIDA"
"SRH - Obstetrics","SSR - Obstetricia"
"SRH - STI/RTI","SSR - ITS/ITR"
"SRH Non Family Planning","SSR No Anticoncepción"
"SRH services","Servicios de SSR"
SSN,"No. Seguro Social"
Standard,Estándar
Start,Inicio
"Start Time","Hora inicio"
"Starting contraception at association","Inicia anticoncepción en la Asociación"
"Starting Date","Fecha inicio"
State,Estado
State/Locality,Estado/Localidad
State:,Estado
"Static Clinic","Clínicas fijas"
Statistics,Estadística
Stats,Estadísticas
Status,Condición
Status:,Condición
"Sterilization of Client","Esterilización de la/el cliente"
"Sterilization of Partner","Esterilización de la pareja"
STI,ITS
Stigma/Discrimination,Estigma/Discriminación
"Stock Months","Meses de existencia"
Street,Calle
"Street and Number","Calle y número"
Stroke,Apoplejía
Subcategory,Subcategoría
"Subdermal implants 1 rod","Implantes subdérmicos 1 barra"
"Subdermal implants 2 rods","Implantes subdérmicos 2 barras"
"Subdermal implants 6 rods","Implantes subdérmicos 6 barras"
Submit,Enviar
"Submit All Content","Enviar todo el contenido"
"Submit Selected Content","Enviar contenido selecto"
"Subscriber Date of Birth","Fecha de Nacimiento del Asegurado"
"substitution allowed","se permite sustituir"
Suicide,Suicidio
Summary,Resumen
Sunday,Domingo
Superbill,"Hoja de cargos"
Surgery,Cirugía
Surgical,Quirúrgico
"Surgical - Other","Cirugia- otros"
"Surgical History","Historia quirúrgica"
"Surgical Procedures Explained","Procedimientos quirúrgicos explicados"
suspension,suspensión
Swedish,Sueco
Symptoms,Síntomas
System,Sistema
"System ID","ID del sistema"
t.i.d.,t.i.d.
tablet,tableta
Take,Tomar
"Takes long","Toma tiempo"
Taxes:,Impuestos
Teaching,Docencia
"Temp Location","Temperatura tomada en"
Temperature,Temperatura
Templates,Plantillas
"Temporal Artery","Arteria temporal"
"Tentative Invoice Ref No","Núm Ref Tentativo de Factura"
Terciary,Terciaria
"Termination of Pregnancy","Terminación del embarazo"
"Tertiary Insurance Data","Datos del Seguro Terciario"
"Test System","Sistema de exámenes"
test:,Examen
"text fragments","Fragmentos de texto"
"The Administator",Administrador
"The Administrator","La/el Administrador"
"This Encounter","Esta visita"
"Thorax ",Tórax
Thrombosis/Stroke,Trombosis/Apoplejía
Thursday,Jueves
Time,Hora
"Timestamp and Text",Fecha/Detalle
Title,Titulo
Title:,Título
To,A
"To Affected Area","Al área afectada"
"To Billing View","A vista de facturación"
"to category","a categoría"
"To Clinical View","A vista clínica"
"To copay","A copago"
"To History","A historia"
"To issues","A Condiciones"
"To link this encounter/consult to an existing issue, click the desired issue above to highlight it and then click [Save]. Hold down [Ctrl] button to select multiple issues.","Para vincular esta visita con una condición médica existente, seleccione la condición para destacarla y oprima [Guardar]. Oprima el botón [Ctrl] para seleccionar múltiples condiciones."
To:,A
Tobacco,Tabaco
Today,Hoy
"Today`s Visit","Esta visita (hoy)"
Top,Superior
Total,Total
"Total  Charges","Cargos totales"
"Total - All","Total - Todos"
"Total charges this visit","Total cargos de esta visita"
"Total Cost","Costo Total"
"Total Negatives","Total de negativos"
"Total No. of Pregnancies","Núm. total de embarazos"
"Total Number of Patients","Núm. total de clientes"
"Total Number of Patients :","Núm. total de clientes"
"Total payments this visit","Pago total en esta visita"
"Total SRH & Family Planning","Total  SSR y PF"
Totals,Totales
Transact,Referencias
Transaction,Transacción
"Transaction Type","Tipo de transacción"
Transactions,Transacciones
"Transactions Type","Tipo de transacciones"
"Transdermal Patch (1 month)","Parche transdérmico (1 mes)"
Transfer,Transferencia
Transfers,Transferencias
Transgender,Transgénero
Transition,Transición
Translation,Traducción
"Translation (?)","Traducción (?)"
"Treatment for cervical cancer","Tratamiento para cáncer cerviciouterino"
Treatment:,Tratamiento
"Tried unsuccessfully to have a child for a year or more","Trató infructuosamente de tener un hijo por un año o más"
tsp,tsp
Tuberculosis,Tuberculosis
Tuesday,Martes
"Tympanic Membrane","Membrana timpánica"
Type,Tipo
"Type of Visit","Tipo de visita"
Type:,Tipo
"Types of Orders and Results","Tipo de Ordenes y Resultados"
"Types of Orders, Results and Recommendations","Tipo de Ord/Res y Recomendaciones"
Ulcers:,Úlceras
"Ultrasonography ",Ultrasonografía
Unassigned,"No asignado"
"Unavailable at Clinic","No disponible en clínica"
Uncategorized,"Categoría no asignada"
"Undo Checkout","Deshacer cierre visita"
Unemployed,Desempleado
"Unique Clients","Clientes únicos (no repetidos)"
"Unique New Clients","Clientes únicos nuevos"
"Unique Returning Clients","Clientes únicos que regresan"
Unit,Unidad
Units,Unidades
"units, $ ","unidades, $"
University,Universidad
Unknown,"No asignado"
Unregistered,"No registrado"
Unspecified,"No especificado"
"Unspecified - No Reason Provided","No especificada - No se dio una razón"
"Unspecified Type of Abortion","Tipo de aborto no especificado"
until,Hasta
"Up to",Hasta
"Up to:",Hasta
"Upcoming Appointments","Citas próximas"
update,Actualizar
UPIN:,UPIN:
Upload,Carga
"Upload configuration data","Cargar datos de configuración"
"Upload Document","Cargar documento"
Urgency:,Emergencia
"Urine Test for HIV","Prueba de orina para VIH"
"Urography ",Urografía
Urology,Urología
"Urology Basic History","Historia básica de urología"
"Urology Tests","Test urológico"
User,Usuario
"User & Group Administration","Administracion de Usuarios y Grupos"
"User Administration","Admon Usuarios"
"User defined","Definido por usuario"
"User Manual","Manual del sistema"
"User Memberships",Membresía
User:,Usuario:
Username,"Nombre de Usuario"
Username:,"Nombre de Usuario"
Users,"Administrar Usuarios"
Vaccinations,Vacunas
"Vaginal Ring (1 month)","Anillo vaginal (1 mes)"
Value,Valor
"Varicella 1","Varicela 1"
"Varicella 2","Varicela 2"
Varicocele,Varicocele
"Varicose Veins","Venas varicosas"
Vendor,Vendedor
Vertigo,Vértigo
view,Vista
"View Comprehensive Patient Report","Ver Registro Detallado de Cliente"
View:,Vista
"Viral Load","Carga viral"
Visit,Visita
"Visit Category:","Categoría de Visita"
"Visit Forms","Formas para Visitas"
Visits,Visitas
"Visits from","Visitas desde"
"Visits From:","Visitas desde"
"Visits Report","Reporte de visitas"
"Vital Signs Recorded","Signos vitales registrados"
Vitals,"Signos Vitales"
"Vitals (Metric)","Signos Vitales (métrico)"
"Voluntary Surgical Contraception",AQV
"Waist Circumference","Circunferencia de la cintura"
Warehouse,Bodega
Warm,Templado
Weakness:,Debilidad
Wednesday,Miércoles
"Week View",Semana
Weight,Peso
"Weight Change","Cambio de peso"
"Western Blot Assay","Ensayo Western Blot"
Who,Quien
Widowed,"Viudo (a)"
"With whom may we leave a message?","¿A quién dejamos el mensaje?"
"Without Update","Sin actualizar"
Witness,Testigo
"Work Phone","Tel Trabajo"
"Work Phone Number","Teléfono del trabajo"
"Work Phone:	","Tel Trabajo"
X-Ray,"Rayos X"
"Year View",Año
Years,Años
"Years of Education","Años de Educ"
"Years of Education:","Años de Educ"
Yes,SÍ
"Yes, Delete and Log","Sí, borrar y registrar"
Zip,CP
"Zip Code","Codigo Postal"
"Zip Code:","Codigo Postal"
"[Add as New]",Agregar
"[Add Issue]","Agregar patología"
"[Add New Note]","Agregar Nueva Nota"
[Add],Agretar
[All],Todo
"[Change Activity]","Cambiar actividad"
"[Check All]","Revisar todo"
"[Clear All]","Limpiar todo"
[Delete],Borrar
[Edit],Editar
[Help],Ayuda
"[Leave The Form]","Salir de la forma"
"[Only Active]","Solo activos"
"[Only Inactive]","Solo inactivos"
[pick],Seleccionar
[Refresh],Actualizar
[Save],Guardar
[Update],Actualizar
"~ Arrived late","~ Llegó tarde"
