,constant_name,definition,IPPF_Spanish (proposed),Same as Def?,Notes,source,openemr,test,spanish,argentina,panama,haiti,,0,TEST,KEVIN or ANA
529,"Anus nl, no rectal tenderness/mass","Ano normal, recto sin distension ni masa","Ano normal, recto sin distensión ni masa",0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
530,Anxiety,Ansiedad,Ansiedad,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
531,Any,Cualquiera,Cualquiera,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
532,Any Category,Cualquier categoría,Cualquier categoría,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
533,Any category,Todas las categorías,Cualquier categoría,0,,test,NULL,Todas las categorías,NULL,NULL,NULL,NULL,1,1,1,0
534,Any part of the desired code or its description,Cualquier parte del código deseado o su descripción,Cualquier parte del código deseado o su descripción,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
535,Any part of the desired specialty,Cualquier parte de la especialidad deseada,Cualquier parte de la especialidad deseada,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
536,Any part of the drug id or drug name,Parte de identificador o Nombre de Medicamento,Cualquier parte del identificador o Nombre del medicamento,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
537,Any part of the immunization id or immunization name,Parte de identificador o Nombre de Vacuna,Cualquier parte del identificador o nombre de la vacuna,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
538,"Any part of the patient name, or ""last,first"", or ""X-Y""","Cualquier parte del nombre del paciente, o ""Apellido, Nombre"", o ""X-Y""","Cualquier parte del nombre del cliente, o ""Apellido, Nombre"", o ""X-Y""",0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
539,Anyother Relevant Information,,Cualquier otra información relevante,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,0,0
540,API key for SMS Gateway.,API para la puerta de enlace SMS,API para la puerta de enlace SMS,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
541,Apnea,Apnea,Apnea,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
542,Apnea:,Apnea,Apnea:,0,,test,NULL,Apnea,NULL,NULL,NULL,NULL,1,1,1,0
543,Appearance,Apariencia,Apariencia,1,,test,Aspecto,Apariencia,NULL,NULL,NULL,NULL,1,0,1,0
544,Appearance:,Apariencia,Apariencia:,0,,test,Aspecto:,Apariencia,NULL,NULL,NULL,NULL,1,1,1,0
545,Append this note,Añadir esta nota,Añadir esta nota,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
546,Append to the existing note,Añadir a la nota existente,Añadir a la nota existente,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
547,Append to This Note,Añadir a Esta Nota,Añadir a esta nota,0,Duplicate,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,1
548,Append to this note,Añadir a esta nota,Añadir a esta nota,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
549,Appendectomy,Apendicectomía,Apendicectomía,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
550,Applicable Patients,Pacientes Aplicables,Clientes elegibles,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
551,Application,,Solicitud,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,0,0
552,Application name for login page and main window title.,Nombre de solicitud para página de ingreso y título de ventana principal,Nombre de solicitud para página de ingreso y título de ventana principal,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
553,Application Receiver Code (GS03 - If blank ISA08 will be used),Código de Aplicación del receptor (GS03 - si está en blanco se usará ISA08),Código de Aplicación del receptor (GS03 - si está en blanco se usará ISA08),1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
554,Application Sender Code (GS02),Codigo de Aplicacion del Enviador,Codigo de Aplicacion del Enviador,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
555,Application Title,Título de la Aplicación,Título de la Aplicación,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
556,Applies to the Vitals form and Growth Chart,Aplica al formulario de Signos Vitales y Cartilla de Crecimiento,Aplica al formulario de Signos Vitales y Cartilla de Crecimiento,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
557,Applies to Vitals form,,Aplica al formulario de Signos Vitales,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,0,0
558,"Apply the changes to the Current event only, to this and all Future occurrences, or to All occurrences?","Aplicar los cambios a la cita actual solamente, a este y todos los acontecimientos futuros, o para Todos los casos?","Aplicar los cambios a la cita actual solamente, a este y todos los acontecimientos futuros, o para todos los casos?",0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
559,apply to affected area,aplicar a la zona afectada,aplicar a la zona afectada,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
560,apply to skin,aplicar a la piel,aplicar a la piel,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
561,Applying,Aplicando,Aplicando,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
562,Applying Patch to site,Aplicando parche al sitio,Aplicando parche al sitio,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
563,Appointment,Cita,Cita,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
564,Appointment Date,Fecha de Cita,Fecha de cita,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
565,Appointment Display Style,Estilo de visualizacion de la cita,Estilo de visualizacion de la cita,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
566,Appointment Reminder Rule,Regla para recordar Cita,Regla para recordatorio de cita,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
567,Appointment status,Estado de la Cita,Estado de la cita,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
568,Appointment Statuses,Estados de la cita,Estados de la cita,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
569,Appointment statuses,Estado de las citas,Estado de las citas,1,Duplicate,test,NULL,Estado de las citas,NULL,NULL,NULL,NULL,1,0,1,1
570,Appointment within,Rango de fecha de cita,Rango de fecha de cita,1,,test,Cita dentro,Rango de fecha de cita,NULL,NULL,NULL,NULL,1,0,1,0
571,Appointment within:,Rango de fecha de cita:,Rango de fecha de cita:,1,,panama,NULL,Rango de fecha de cita:,NULL,NULL,Rango de fecha de cita:,Rango de fecha de cita,1,0,0,0
572,Appointment/Event Color,Color de Cita/Evento,Color de Cita/Evento,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
573,Appointments,Citas,Citas,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
574,Appointments (write optional),Citas (escriba opcional),Citas (escriba opcional),1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
575,"Appointments (write,wsome optional)","Citas (escribir, algunos opcional)","Citas (escribir, algunos opcional)",1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
576,Appointments and Encounters,Citas y Visitas,Citas y Visitas,1,,test,Citas y encuentros,Citas y Visitas,NULL,NULL,NULL,NULL,1,0,1,0
577,Appointments and Visits,Citas y Visitas,Citas y Visitas,1,,test,NULL,Citas y Visitas,NULL,NULL,NULL,NULL,1,0,1,0
578,Appointments Report,Reporte de Citas,Reporte de citas,0,,test,Informe Citas,Reporte de Citas,NULL,NULL,NULL,NULL,1,1,1,0
579,Appointments-Encounters Report,Informes Citas-Encuentros,Informes Citas-Encuentros,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
580,Approve,Aprobar,Aprobar,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
581,Approved,Aprobado,Aprobado,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
582,Approved Events Administration,Eventos Administrativos Aprobados,Eventos Administrativos Aprobados,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
583,Appt-Enc,Citas y Visitas,Citas-Visitas,0,,test,Citas-Encuentros,Citas y Visitas,NULL,NULL,NULL,NULL,1,1,1,0
584,Appts,Citas,Citas,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
585,Apr,Abr,Abr,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
586,April,Abril,Abril,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
587,Arabic,Arabigo,Arábigo,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
588,Archive,,Archivo,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,0,0
589,Are access control group names to be translated?,¿Se traducirán los nombres del grupo de control de acceso?,¿Se traducirán los nombres del grupo de control de acceso?,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
590,Are appointment category names to be translated?,¿Se traducirán los nombres de las categorías de citas?,¿Se traducirán los nombres de las categorías de citas?,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
591,Are document category names to be translated?,¿Se traducirán los nombres de categorías de documentos?,¿Se traducirán los nombres de categorías de documentos?,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
592,Are fees charged for this type?,Son cobrados los honorarios por este tipo?,Son cobrados los honorarios por este tipo?,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
593,Are patient note titles to be translated?,¿Se traducirán los títulos de las notas del paciente?,¿Se traducirán los títulos de las notas del cliente?,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
594,"Are the codes stored in external sql tables (0-No, 1-ICD10, 2-SNOMED(RF1), 3-SNOMED(RF2)) ?",¿Están los códigos almacenados en tablas SQL externas? (0: No; 1: “ICD10”; 2: “SNOMED(RF1)”; 3: “SNOMED(RF2)”),¿Están los códigos almacenados en tablas SQL externas? (0: No; 1: “ICD10”; 2: “SNOMED(RF1)”; 3: “SNOMED(RF2)”),1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
595,Are you prepared to complete a new GCAC issue for this visit?,¿Está preparado para completar una nueva incidencia de GCAC (Global Connection Admission Control) para esta visita?,¿Está preparado para completar una nueva incidencia de GCAC (Global Comprehensive Abortion Care) para esta visita?,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
596,Are you sure to post for today?,¿Está seguro de enviar hoy?,¿Está seguro de enviar hoy?,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
597,Are you sure you want to approve these events?,¿Estás seguro quer quieres aprobar estos eventos?,¿Estás seguro quer quieres aprobar estos eventos?,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
598,Are you sure you want to completely remove this form?,¿Estás seguro de que deseas eliminar por completo este formulario?,¿Está seguro de que desea eliminar por completo este formulario?,0,I am making changes to have consistency in the language of the questions (i.e. formal across the system: está vs estás),openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,1
599,Are you sure you want to delete this disclosure?,¿Está seguro que desea eliminar este acceso?,¿Está seguro que desea eliminar este acceso?,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
600,Are you sure you want to delete this event?,¿Estás seguro que quieres eliminar estos eventos?,¿Está seguro que quiere eliminar estos eventos?,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
601,Are you sure you want to delete this item from the database?,¿Esta seguro que quiere eliminar este item de la base de datos?,¿Está seguro que quiere eliminar este item de la base de datos?,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
602,Are you sure you want to delete this note?,¿Está usted seguro usted quiere suprimir esta nota?,¿Está usted seguro usted quiere suprimir esta nota?,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
603,Are you sure you want to edit these events?,¿Estás seguro que quieres editar estos eventos?,¿Está seguro que quiere editar estos eventos?,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
604,Are you sure you want to hide these events?,¿Estás seguro que quieres ocultar estos eventos?,¿Está seguro que quiere ocultar estos eventos?,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
605,Are you sure you want to view these events?,¿Estás seguro que quieres visualizar estos eventos?,¿Está seguro que quiere visualizar estos eventos?,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
606,Are you sure you wish to delete the entire group named,Está usted seguro usted que desea suprimir al grupo entero nombrado,Está usted seguro usted que desea suprimir al grupo entero nombrado,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
607,Are you sure you wish to delete the entire list,Está usted seguro que desea suprimir la lista entera,Está usted seguro que desea suprimir la lista entera,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
608,Are you sure you wish to delete the field in,Está usted seguro que quiere suprimir el campo interno,Está usted seguro que quiere suprimir el campo interno,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
609,Are you sure you wish to delete the selected fields?,¿Está usted seguro que quiere borrar los campos seleccionados?,¿Está usted seguro que quiere borrar los campos seleccionados?,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
610,Are you sure you'd like to continue with these actions?,¿Estás seguro que quieres continuar con estas acciones?,¿Está seguro que quiere continuar con estas acciones?,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
611,Area not specified,Zona no especificada,Zona no especificada,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
612,Arm,Brazo,Brazo,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
613,Armenian,Armenio,Armenio,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
614,Arrythmia,Arritmia,Arritmia,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
615,Arrythmia:,Arritmia,Arritmia:,0,,test,NULL,Arritmia,NULL,NULL,NULL,NULL,1,1,1,0
616,Arthritis,Artritis,Artritis,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
617,Arthritis / degen joint diseas,Artritis / Enfermedad degenerativa de articulaciones,Artritis / Enfermedad degenerativa de articulaciones,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
618,Arthritis / degen joint disease,Artritis / Enfermedad degenerativa de articulaciones,Artritis / Enfermedad degenerativa de articulaciones,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
619,Arthritis:,Artritis,Artritis:,0,,test,NULL,Artritis,NULL,NULL,NULL,NULL,1,1,1,0
620,Artificial Insemination,Insem artif,Inseminación artificial,0,,test,NULL,Insem artif,NULL,NULL,NULL,NULL,1,1,1,0
621,as,como,como,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
622,As Of,A partir de,A partir de,1,,test,Desde,A partir de,NULL,NULL,NULL,NULL,1,0,1,0
623,Asian,Asiático,Asiático,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
624,Assessment,Evaluación,Evaluación,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
625,Assessment:,Evaluación,Evaluación:,0,,test,NULL,Evaluación,NULL,NULL,NULL,NULL,1,1,1,0
626,Assigned To,Asignado a,Asignado a,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
627,Assistant,Ayudante,Ayudante,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
628,Associated Clinics,Clínicas asociadas,Clínicas asociadas,1,,test,NULL,Clínicas asociadas,NULL,NULL,NULL,NULL,1,0,1,0
629,Associated Induced Procedure,Procedimiento asociado,Procedimiento asociado inducido,0,,test,NULL,Procedimiento asociado,NULL,NULL,NULL,NULL,1,1,1,0
630,Asthma,Asma,Asma,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
631,Asthma:,Asma,Asma:,0,,test,NULL,Asma,NULL,NULL,NULL,NULL,1,1,1,0
632,at,en,en,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
633,At least one search parameter is required if you select All.,Se requiere al menos un parámetro de búsqueda si usted seleccionó Todos,Se requiere al menos un parámetro de búsqueda si usted seleccionó 'Todos'.,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
634,At the Navicular,En el Escafoides,En el Escafoides,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
635,At the Navicular:,En el Escafoides:,En el Escafoides:,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
636,atenolol,atenolol,atenolol,1,,test,NULL,atenolol,NULL,NULL,NULL,NULL,1,0,1,0
637,Atherosclerosis,Aterosclerosis,Aterosclerosis,1,,test,NULL,Aterosclerosis,NULL,NULL,NULL,NULL,1,0,1,0
638,Athletic team,Equipo de atletismo,Equipo de atletismo,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
639,Athletic Team,,Equipo atlético,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,0,0
640,Athletic/Injury,Lesión Deportiva,Lesión Deportiva,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
641,ATNA audit CA certificate,Certificado CA de ATNA (Seguimiento de auditoría y autenticación del nodo),Certificado CA de ATNA (Seguimiento de auditoría y autenticación del nodo),1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
642,ATNA audit host,Anfitrión de audito ATNA (Seguimiento de auditoría y autenticación del nodo),Anfitrión de auditoría ATNA (Seguimiento de auditoría y autenticación del nodo),0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
643,ATNA audit local certificate,Certificado local de ATNA (Seguimiento de auditoría y autenticación del nodo),Certificado local de ATNA (Seguimiento de auditoría y autenticación del nodo),1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
644,ATNA audit port,Puerto de audito ATNA (Seguimiento de auditoría y autenticación del nodo),Puerto de audito ATNA (Seguimiento de auditoría y autenticación del nodo),1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
645,Attention,Atención,Atención,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
646,Attn,Atención,Atención,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
647,Attributes,Atributos,Atributos,1,,panama,NULL,NULL,NULL,NULL,Atributos,NULL,1,0,0,0
648,Audit CDR Engine Queries,,Preguntas del motor de registro de auditoría,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,0,0
649,Audit Logging Backups,Copias de seguridad de registro de auditoría,Copias de seguridad del registro de auditoría,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
650,Audit Logging Miscellaneous,Miscelaneos de Registro de auditoría,Miscelaneos del registro de auditoría,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
651,Audit Logging Order,Orden de Registro de auditoría,Orden de registro de auditoría,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
652,Audit Logging Patient Record,Registro de auditoría de registro del paciente,Registro de auditoría el expeiente del cliente,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
653,Audit Logging Scheduling,Planificación registro de auditoría,Programación del registro de auditoría,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
654,Audit Logging Security Administration,Registro de auditoría Administración de la Seguridad,Administración de laseguridad del registro de auditoría ,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
655,Audit Logging SELECT Query,Registro de auditoría consulta SELECT,Registro de auditoría consulta SELECT,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
656,Aug,Ago,Ago,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
657,August,Agosto,Agosto,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
658,Auth,Autorización,Autorización,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
659,Auth/notes,Autorizacion/Notas,Autorizacion/Notas,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
660,Authorization group,Grupo de Autorizacion,Grupo de Autorizacion,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
661,Authorization Status,Estatus de autorización,Estatus de autorización,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
662,Authorizations,Autorizaciones,Autorizaciones,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
663,Authorize,Autorizar,Autorizar,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
664,authorize,Autorizado,Autorizado,1,,test,NULL,Autorizado,NULL,NULL,NULL,NULL,1,0,1,0
665,Authorize - any encounters,Autorice - cualquier encuentro,Autorice - cualquier encuentro,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
666,Authorize - my encounters,Autorice - mis encuentros,Autorice - mis encuentros,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
667,Authorize.net,,Authorize.net,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,0,0
668,Authorized,Autorizado,Autorizado,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
669,Authorized Only,Autorizacion solamente,Autorizacion solamente,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
670,Authorized?,Autorizado?,¿Autorizado?,0,,test,NULL,Autorizado?,NULL,NULL,NULL,NULL,1,1,1,0
671,Auto Send,Mandar automáticamente,Enviar automáticamente,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
672,Auto-Create New Encounters,Crear automaticamente nuevos encuentros,Crear automaticamente nuevas visitas,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
673,Auto-generated,Auto-generado,Auto-generado,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
674,Automated Measure Calculations (AMC),Calculos Automaticos de Medida (CAM),Calculos de Medidas Automatizadas  (CMA),0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
675,Automated Measure Calculations (AMC) Tracking,Rastreo Calculos Automaticos de Medida (CAM),Rastreo de Calculos de Medidas Automatizadas  (CMA),0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
676,Automated Measures (AMC),Medidas Automatizadas ,Medidas Automatizadas ,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
677,Automatic,Automatica,Automatica,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
678,"Automatically create a new encounter when appointment status is set to ""@"" (arrived).","Crear automáticamente nuevos encuentros cuando el estado de una cita se selecciona en ""@"" (llegado)","Crear automáticamente nuevas visitas cuando el estado de una cita se selecciona en ""@"" (llegado)",0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
679,Automobile Medical,Automovil Medico,Automóvil Médico,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
680,autosaved,Guardado automáticamente,Guardado automáticamente,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
681,Available categories,Categorias Disponibles,Categorias Disponibles,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
682,Available Times,Horas disponbiles,Horas disponbiles,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
683,Average No. of Days,Promedio de días,Promedio de días,1,,test,NULL,Promedio de días,NULL,NULL,NULL,NULL,1,0,1,0
684,Avg Monthly,Promedio mensual,Promedio mensual,1,,test,Media Mensual,Promedio mensual,NULL,NULL,NULL,NULL,1,0,1,0
685,Avulsion / avulsion fracture,Avulsión / fractura por avulsión,Avulsión / fractura por avulsión,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
686,Avulsion lateral malleolus,Avulsión de maleolo lateral,Avulsión de maleolo lateral,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
687,Avulsion medial malleolus ,Avulsión de maleolo medial,Avulsión de maléolo medial,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
688,Awareness-Based,Basado en Conocimiento,Basado en Conocimiento,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
689,Axilar,Axila,Axila,1,,test,NULL,Axila,NULL,NULL,NULL,NULL,1,0,1,0
690,Axillary,Axila,Axilar,0,,test,Axilar,Axila,NULL,NULL,NULL,NULL,1,1,1,0
691,b.i.d.,b.i.d.,dos veces por día,0,,test,dos veces por día,b.i.d.,NULL,NULL,NULL,NULL,1,1,1,0
692,Back,Regresar,Atrás,0,,test,Atrás,Regresar,NULL,NULL,NULL,NULL,1,1,1,0
693,back,atrás,atrás,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
694,Back eight visits,Retrocede ocho visitas,Retroceder ocho visitas,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
695,Back eleven visits,Retroceder once visitas,Retroceder once visitas,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
696,Back five visits,Retroceder cinco visitas,Retroceder cinco visitas,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
697,Back four visits,Retroceder cuatro visitas,Retroceder cuatro visitas,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
698,Back nine visits,Retroceder nueve visitas,Retroceder nueve visitas,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
699,Back one visit,Regresar una visita,Regresar una visita,1,,test,Retroceder una visita,Regresar una visita,NULL,NULL,NULL,NULL,1,0,1,0
700,Back Pain,Dolor de Espaldas,Dolor de Espalda,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
701,Back Problems,Problemas de espalda,Problemas de espalda,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
702,Back seven visits,Retroceder siete visitas,Retroceder siete visitas,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
703,Back six visits,Retroceder seis visitas,Retroceder seis visitas,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
704,Back Surgery,Cirugia de la espalda,Cirugia de la espalda,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
705,Back ten visits,Retroceder diez visitas,Retroceder diez visitas,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
706,Back three visits,Retroceder tres visitas,Retroceder tres visitas,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
707,Back to Admin Page,Volver a la página de Administración,Volver a la página de Administración,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
708,Back To Patient,Volver al paciente,Volver al cliente,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
709,Back to Users,Volver a los usuarios,Volver a los usuarios,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
