constant_name,definition,source,openemr,test,spanish,argentina,panama,haiti
"Date format for ""seen since"" is not valid","Formato fecha para 'visto desde' no es válido",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Date Immunization Information Statements Given","Comunicados de fechas de vacunación entregados",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Date is missing for code ","Falta fecha para código",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Date Last Pregnancy Ended","Fecha de parto",test,NULL,"Fecha de parto",NULL,NULL,NULL,NULL
"Date Master Criteria","Criterio maestro de fecha",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Date of bank deposit yyyy-mm-dd","Fecha ingreso en banco aaaa-mm-dd",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Date of Billing","Fecha de factura",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Date Of Birth",F.Nacim.,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Date of Birth","Fecha Nacimiento",test,F.Nacim.,"Fecha Nacimiento",NULL,NULL,NULL,NULL
"Date of birth",F.Nacim.,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Date of Entry","Fecha de entrada",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Date of Injury","Fecha de la lesión",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Date of Last Pap Smear","Fecha de última citología/Papanicolau",test,NULL,"Fecha de última citología/Papanicolau",NULL,NULL,NULL,NULL
"Date of Next Pap Smear ","Fecha de próxima citología /Papanicolau",test,NULL,"Fecha de próxima citología /Papanicolau",NULL,NULL,NULL,NULL
"Date of payment yyyy-mm-dd","Fecha de pago aaaa-mm-dd",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Date of referral","Fecha de derivación",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Date of reply","Fecha de la respuesta",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Date of Report",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Date Of Service","Fecha de servicio",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Date of Service","Fecha de servicio",panama,"Fecha De Servicio",NULL,NULL,NULL,"Fecha de servicio",NULL
"Date of Service = Today","Fecha de servicio = hoy",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Date of service mm/dd/yyyy","Fecha de servicio mm/dd/aaaa",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Date of Service:","Fecha de servicio",test,"Fecha de Servicio:","Fecha de servicio",NULL,NULL,NULL,NULL
"Date Of Signature","Fecha de firma",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Date of Status Change",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Date of this order","Fecha de esta orden",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Date of this report","Fecha de este reporte",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Date of VIS Statement","Fecha de la Declaración de VIS",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Date Ordered","Fecha de orden",test,"Fecha en que se ordenó","Fecha de orden",NULL,NULL,NULL,NULL
"Date selector","Seleccionador de fecha",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Date Sent","Fecha del envío",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Date The Message Was Sent","Fecha en la que el mensaje fue enviado",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Date values Cannot be Blank.","La fecha no puede estar en blanco",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Date/Appt,Fecha/Cita,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Date/Notes,Fecha/Notas,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Date/Notes of Last","Fecha/Notas de Último",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Date/Time,Fecha/Hora,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Date:,Fecha,test,Fecha:,Fecha,NULL,NULL,NULL,NULL
"Dated Message Log","Registro de mensajes con sus fechas",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Day,Día,openemr,NULL,NULL,NULL,NULL,NULL,NULL
day,Dia,test,dia,Dia,NULL,NULL,NULL,NULL
"Day View",Días,test,"Vista de día",Días,NULL,NULL,NULL,NULL
Day(s),Día(s),openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Day(s) M-F","Día(s) L-V",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Days,Días,openemr,NULL,NULL,NULL,NULL,NULL,NULL
days,Días,test,días,Días,NULL,NULL,NULL,NULL
"days ago","días pasados",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Days and Games Missed","Dïas y juegos perdidos",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Days From Last Encounter","Días Desde la Última Visita",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Days Missed","Dias faltados",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Days per Column:","Días por columna",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Days/Col:,Días/Col,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"DB installed","DB instalado",openemr,NULL,NULL,NULL,NULL,NULL,NULL
DD/MM/YYYY,DD/MM/AAAA,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"De Identification",Anonimato,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"De Identification Process is completed","El proceso de anonimato está completo",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"De Identification Process is ongoing","El proceso de anonimato está en proceso",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"De Identification process is started and running in background","El proceso de anonimato ha iniciado y está corriendo en el fondo",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"De Identified data may not be complete","Los datos anónimos pueden no estar completos",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"De-identification files will be saved in","Los ficheros anónimos serán guardados en",openemr,NULL,NULL,NULL,NULL,NULL,NULL
DEA,DEA,openemr,NULL,NULL,NULL,NULL,NULL,NULL
deactivate,Desactivado,test,NULL,Desactivado,NULL,NULL,NULL,NULL
Deaf,Sordera,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Debit Card","T de Débito",panama,NULL,NULL,NULL,NULL,"T de Débito",NULL
"Debug Information","Elimine errores de la información",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Debugging,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dec,Dic,openemr,NULL,NULL,NULL,NULL,NULL,NULL
DECEASED,DIFUNTO,openemr,NULL,NULL,NULL,NULL,NULL,NULL
December,Diciembre,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Decimal pounds or pounds and ounces separated by #(e.g. 5#4)",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Deductible,Deducible,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Deductible Met","Deducible alcanzado",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Default,Predeterminado,test,"Por Defecto",Predeterminado,NULL,NULL,NULL,NULL
"Default Calendar View","Vista Calendario por defecto",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Default Encounter Form ID","Formulario ID para Visita por defecto",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Default Facility","Centro por defecto",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Default Facility:","Ubicación predeterm",test,NULL,"Ubicación predeterm",NULL,NULL,NULL,NULL
"Default Language","Idioma por defecto",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Default language if no other is allowed or chosen.","Idioma por defecto si no se elige o permite otro",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Default List (write,addonly optional)","Lista del defecto (escriba, sólo añadir opcional)",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Default Method","Método predeterm",test,"Método por defecto ","Método predeterm",NULL,NULL,NULL,NULL
"Default Password Expiration Days","Días Expiración Contraseña por Defecto",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Default password expiration period in days. 0 means this feature is disabled.","El periodo de vencimiento de la contraseña por defecto es 0. Ésto significa que la función está desactivada",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Default Patient Country","País por defecto del Paciente",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Default Priority",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Default Provider","Médico por defecto",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Default provider is required","Debe definir un proveedor predeterminado",test,NULL,"Debe definir un proveedor predeterminado",NULL,NULL,NULL,NULL
"Default Range","Rango por defecto",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Default Reason for Visit","Razón por defecto de la visita",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Default Setting","Configuración por defecto",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Default state of New Window checkbox in the patient list.","Estado por defecto de la casilla de chequeo de nueva ventana en la lista de pacientes.",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Default Template","Plantilla por defecto",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Default Units","Unidades por defecto",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Default Value","Valor predeterm",test,"Valor por defecto","Valor predeterm",NULL,NULL,NULL,NULL
"Default Warehouse","Deposito por defecto",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Default Warehouse:","Bodega predeterm",test,NULL,"Bodega predeterm",NULL,NULL,NULL,NULL
"Default X12 Partner","Socio X12 por defecto",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Default/Global,"Por defecto/Global",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Del,Borrar,openemr,NULL,NULL,NULL,NULL,NULL,NULL
del,borrar,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Delayed Recurrence (> 12 Mo)","Repetición retrasada (> 12 Mo)",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Delete,Borrar,test,Eliminar,Borrar,NULL,NULL,NULL,NULL
delete,eliminar,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Delete Categories with ID(s) : ","Eliminar Categrorías con identificador(es) :",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Delete Category","Borrar Categoría",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Delete failed!",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Delete Group","Borrar Grupo",test,"Eliminar Grupo","Borrar Grupo",NULL,NULL,NULL,NULL
"Delete List","Borrar Lista",test,"Eliminar Lista","Borrar Lista",NULL,NULL,NULL,NULL
"Delete Pages","Eliminar Páginas",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Delete Patient, Encounter, Form, Issue, Document, Payment, Billing or Transaction","Borrar Paciente, visita, formulario, Incidencia, Documento, Pago, facturación o Transacción",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Delete Row","Borrar fila",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Delete Selected Items","Borrar ítems selectos",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Delete successful.","Eliminación con éxito.",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Delete this document","Eliminar este documento",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Delete this form","Eliminar este formulario",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Delete this note","Eliminar esta nota",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Deleted Successfully.","Borrado Completado",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Deleting,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Deleting this event cannot be undone. It cannot be recovered once it is gone. Are you sure you wish to delete this event?","No se puede deshacer la eliminación de este evento. No se puede recuperar una vez que se ha hecho. ¿Está seguro que desea eliminar este evento?",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Delivery Confirmed",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Delivery is not currently permitted to the specified Direct Address.",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Delivery of the attached clinical document was requested by the patient.",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dementia,Demencia,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Demographics,Demográficos,test,"Datos demográficos",Demográficos,NULL,NULL,NULL,NULL
"Demographics (All Values)","Demográficos (Todos)",test,NULL,"Demográficos (Todos)",NULL,NULL,NULL,NULL
"Demographics (write,addonly optional)","Demografía (escribir, sólo añadir opcional)",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Demographics filter criteria","Criterio de Filtro Demográficos",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Demographics not authorized","Datos demográficos no autorizados",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Demographics not authorized.","Datos demográficos no autorizados",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Denied,Denegado,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Denominator,Denominador,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Dental,Dental,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Dental Issue List",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Dental Issues","Incidencias Dentales",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Depending on the type of bill you are testing you will see HCFA like output on a blank page for HCFA bills, you will see many lines of somewhat garbled text  and information if you are testing an X12 claim. That garbled text is the X12 EDI 4010A format. O","Dependiendo del tipo de cuenta que usted prueba, usted verá salida tipo HCFA en una página en blanco para las cuentas de HCFA, o usted verá muchas líneas de texto e información alteradas, si usted está probando una demanda X12. Ese texto mutilado es el formato del X12 IED 4010A. Usted verá de vez en cuando los caracteres extraños que parecen dominós o basura, se trata de caracteres de control tales como alimentaciones de página y son normales.",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Deposit Date","Fecha de depósito",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Deposit Date Cannot be greater than Today","La fecha del deposiito no puede ser mayor a la de hoy",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Deposit Date:","Fecha del depósito",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Depressed,Depresivo,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Depression,Depresión,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Depression:,Depresión,test,NULL,Depresión,NULL,NULL,NULL,NULL
Description,Descripción,openemr,NULL,NULL,NULL,NULL,NULL,NULL
description,descripción,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Description of the Disclosure","Descripción del acceso a información",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Description of this procedure or result code","Desceripcion de este procedimiento o codigo resultante",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Description Translation","Traducción de la descripción",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Description:,Descripción,test,NULL,Descripción,NULL,NULL,NULL,NULL
Destination,Destino,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Destination Filename","Nombre del archivo destino",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Destroy,Destruir,test,NULL,Destruir,NULL,NULL,NULL,NULL
"Destroy Lot","Destruir todo el lote",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Destroy...,Destruir,test,"Destruido ...",Destruir,NULL,NULL,NULL,NULL
Destroyed,Ajustes(Daño/Exp),test,Destruido,Ajustes(Daño/Exp),NULL,NULL,NULL,NULL
"Destroyed Drugs","Productos destruidos",panama,"Drogas destruidas","Productos destruidos",NULL,NULL,"Productos destruidos","Prod destruídos"
"Destroyed Drugs Report","Informe drogas destruido",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Detail,Detalles,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Details,Detalle,test,Detalles,Detalle,NULL,NULL,NULL,NULL
"Developmental abnormality","Anormalidad del desarrollo",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Diabetes,Diabetes,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Diabetes Mellitus","Diabetes Mellitus",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Diabetes Mellitus w/Vascular Complications","Diabetes Mellitus con complicaciones vasculares",test,NULL,"Diabetes Mellitus con complicaciones vasculares",NULL,NULL,NULL,NULL
"Diabetes: Blood Pressure Management (CQM)","Diabetes: Gestión presión arterial (GCC)",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Diabetes: Eye Exam","Diabetes:Examen Ocular",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Diabetes: Eye Exam (CQM)","Diabetes: Examen ocular (GCC)",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Diabetes: Foot Exam","Diabetes: Examen de los pies",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Diabetes: Foot Exam (CQM)","Diabetes: Examen de los pies (GCC)",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Diabetes: HbA1c Poor Control (CQM)","Diabetes:Control HbA1c Deficiente (GCC)",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Diabetes: Hemoglobin A1C","Diabetes: Hemoglobina A1C",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Diabetes: LDL Management & Control (CQM)","Diabetes: Gestión LDL y Control (GCC)",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Diabetes: Urine Microalbumin","Diabetes: Microalbúmina de la orina",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Diag,Diagnosticos,test,Diagnóstico,Diagnosticos,NULL,NULL,NULL,NULL
Diagnoses,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Diagnosis,Diagnósticos,panama,Diagnóstico,Diagnósticos,NULL,NULL,Diagnósticos,Diagnosticos
"Diagnosis Code","Código de diagnóstico",test,"Código de diagnostico","Código de diagnóstico",NULL,NULL,NULL,NULL
"Diagnosis Date","Fecha de diagnostico",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Diagnosis must be coded into a linked encounter","El diagnóstico debe ser codificado en una visita vinculada",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Diagnosis Name","Nombre del diagnóstico",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Diagnosis Report","Reporte de diagnóstico",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Diagnosis Reporting","Informe de diagnóstico",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Diagnosis Reporting Only","Sólo inf. de diag.",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Diagnosis Title","Título del diagnóstico",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Diagnosis:,Diagnósticos,panama,Diagnóstico:,Diagnósticos,NULL,NULL,Diagnósticos,Diagnosticos
"Diagnosis: ",Diagnóstico:,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Diagnostic,Diagnosticos,test,NULL,Diagnosticos,NULL,NULL,NULL,NULL
"Diagnostic Imaging ","Imagen Diagnóstica",test,NULL,"Imagen Diagnóstica",NULL,NULL,NULL,NULL
"Diagnostic Labs & Orders","Laboratorio y Diagnósticos",test,NULL,"Laboratorio y Diagnósticos",NULL,NULL,NULL,NULL
"Diagnostic Tests:","Exam de Diagn",test,"Pruebas diagnósticas:","Exam de Diagn",NULL,NULL,NULL,NULL
Dials,Diales,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Diaphragm,Diafragma,test,NULL,Diafragma,NULL,NULL,NULL,NULL
Diaphragms/Caps,"Diafragmas/Capuchón cervical",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Diarrhea,Diarrea,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Diarrhea:,Diarrea,test,NULL,Diarrea,NULL,NULL,NULL,NULL
Dictation,Dictado,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Dictation: ",Dictado:,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Dictation:,Dictado,test,NULL,Dictado,NULL,NULL,NULL,NULL
"Did you receive a copy of the HIPAA Notice?","¿Usted recibió una copia del aviso de HIPAA?",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Difference,Diferencia,test,NULL,Diferencia,NULL,NULL,NULL,NULL
Diffuse:,Difuso,test,Difuso:,Difuso,NULL,NULL,NULL,NULL
"Digitally Signed","Firmado digitalmente",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Direct Mail","Correo Directo",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Direct Message Log",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Direct Message Received.",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Direct messaging is currently unavailable.",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Direct Messaging Send Failure.",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Director Name","Nombre del director",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Directory delete failed; continuing.",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Disability,inhabilitación,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Disable Calendar","Deshabilitar calendario",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Disable Chart Tracker","Deshabilitar tabla de seguimiento",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Disable Immunizations","Deshabilitar inmunizaciones",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Disable Old Metric Vitals Form","Deshabilitar vieja forma métrica de datos vitales",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Disable phpMyAdmin","Deshabilitar phpMyAdmin",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Disable Prescriptions","Deshabilitar prescripciones",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Disable User Groups","Deshabilitar grupos de usuarios",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Disabled,inhabilitado,openemr,NULL,NULL,NULL,NULL,NULL,NULL
disabled,inhabilitado,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Disabled Beneficiary Under Age 65 with Large Group Health Plan (LGHP)","Beneficiario discapacitado menor de 65 años con un Plan de salud para grandes grupos (LGHP)",openemr,NULL,NULL,NULL,NULL,NULL,NULL
DISC,DISCO,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Discarded,"Dado de alta",test,NULL,"Dado de alta",NULL,NULL,NULL,NULL
Discharge,Secreción,panama,Descarga,Secreción,NULL,NULL,Secreción,Descargo
"Discharge From Urethra","Pérdidas/secreciones de la uretra",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Discharge Right","Descarga derecha",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Discharge Right:","Descarga derecha:",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Discharge:,Secreción,panama,NULL,Secreción,NULL,NULL,Secreción,Descargo
Discharged,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Disclosure Info","Informacion de acceso a información",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Disclosure Type","Tipo de Acceso a información",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Disclosure Types","Tipos de Acceso a información",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Disclosures,"Acceso a información",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Discount,Descuento,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Discount Amount","Monto descuento",test,"Suma de descuentos","Monto descuento",NULL,NULL,NULL,NULL
"Discount Amount:","Monto descuento",test,NULL,"Monto descuento",NULL,NULL,NULL,NULL
"Discount Level","Nivel del Descuento",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Discount Percentage","porcentajes de descuento",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Discount/Adjustment,Descuento/Ajuste,test,NULL,Descuento/Ajuste,NULL,NULL,NULL,NULL
"Discounts as Monetary Amounts","Descuentos/Ajustes en montos absolutos",panama,"Descuentos como importes monetarios",NULL,NULL,NULL,"Descuentos/Ajustes en montos absolutos",NULL
"Discounts at checkout time are entered as money amounts, as opposed to percentage.","Descuentos a la hora de salida se introducen como cantidades de dinero, a diferencia de porcentaje.",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Discrete Result","Resultado discreto",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Disease,Enfermedad,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Disease:,Enfermedad,test,NULL,Enfermedad,NULL,NULL,NULL,NULL
Dislocation,Dislocación,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Disp #","# Disp",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Dispatch,Informe,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Dispatch Received Document","Remitir documento recibido",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Dispensed,Entregado,test,Prescrito,Entregado,NULL,NULL,NULL,NULL
"Display advance directives in the demographics page.","Mostrar las directivas anticipadas en la página de la demografía.",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Display event dates in block?","¿Mostrar fechas de eventos en bloque?",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Display Format for US Weights",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Display how many events?","¿Mostrar cuántos eventos?",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Display location in block?","¿Mostrar lugar/sitio en bloque?",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Display Name","Nombre de Pantalla",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Display the calendar?","¿Mostrar el calendario?",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Display today's events in the block?","¿Mostrar los eventos de hoy en el bloque?",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Display topic in block?","¿Mostrar tema en el bloque?",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Display upcoming events in block?","¿Mostrar los eventos próximos en tabla?",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Display warnings for service and product mismatch","Desplegar mensajes de alerta (inconsistencia entre productos y servicios)",panama,NULL,NULL,NULL,NULL,"Desplegar mensajes de alerta (inconsistencia entre productos y servicios)",NULL
"Displayed Columns","Columnas mostradas",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Displaying the following number of most recent disclosures:","Mostrando el siguiente número de revelaciones más recientes:",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Displaying the following number of most recent notes","Mostrando el siguiente número de las notas más recientes",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Displaying the following number of most recent notes:","Mostrando el siguiente número de las notas más recientes:",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Distribution,Distribución,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Distributions,Distribuciones,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Distributor,Distribuidor,openemr,NULL,NULL,NULL,NULL,NULL,NULL
District,Distrito,panama,NULL,NULL,NULL,NULL,Distrito,NULL
Diverticulitis,Diverticulitis,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Diverticulitis Surgery","Operación de Diverticulitis",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Divirticulitis,Diverticulitis,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Divirticulitis Surgery","Operación de Diverticulitis",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Divorced,Divorciado(a),test,Divorciado,Divorciado(a),NULL,NULL,NULL,NULL
Dizziness:,Mareos,test,Mareo:,Mareos,NULL,NULL,NULL,NULL
"Do not change","No cambiar",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Do not display Allergy uploaded to NewCrop","No mostrar alergia subida a NewCrop",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Do not display Medications uploaded to NewCrop","No mostrar medicación subida a NewCrop",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Do not display the calendar.","No mostrar el calendario",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Do not inventory and sell any products","No inventariar ni vender nigun producto",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Do not require patient notes to be authorized","No requiere notas del paciente para ser autorizado",openemr,NULL,NULL,NULL,NULL,NULL,NULL
